"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Beckage_Netlogo7_butterfliesObs_sol.nlogox"
"q to maximize neighbors"
"05/05/2026 09:42:15:571 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","exportCorridorWidth?","ButterFliesAtOrigin?","ImportElevationData?","q","[step]","mean-Neighbors"
"9","false","false","true","0","999","0.324"
"11","false","false","true","0.01","999","0.316"
"6","false","false","true","0","999","0.356"
"10","false","false","true","0","999","0.372"
"8","false","false","true","0","999","0.316"
"12","false","false","true","0.01","999","0.32"
"3","false","false","true","0","999","0.308"
"2","false","false","true","0","999","0.332"
"7","false","false","true","0","999","0.324"
"5","false","false","true","0","999","0.32"
"4","false","false","true","0","999","0.24"
"1","false","false","true","0","999","0.26"
"13","false","false","true","0.01","999","0.34"
"14","false","false","true","0.01","999","0.264"
"15","false","false","true","0.01","999","0.296"
"16","false","false","true","0.01","999","0.236"
"18","false","false","true","0.01","999","0.296"
"17","false","false","true","0.01","999","0.276"
"19","false","false","true","0.01","999","0.228"
"20","false","false","true","0.01","999","0.292"
"21","false","false","true","0.02","999","0.292"
"22","false","false","true","0.02","999","0.368"
"23","false","false","true","0.02","999","0.324"
"24","false","false","true","0.02","999","0.316"
"25","false","false","true","0.02","999","0.284"
"26","false","false","true","0.02","999","0.332"
"27","false","false","true","0.02","999","0.312"
"28","false","false","true","0.02","999","0.276"
"29","false","false","true","0.02","999","0.348"
"30","false","false","true","0.02","999","0.32"
"31","false","false","true","0.03","999","0.348"
"32","false","false","true","0.03","999","0.312"
"33","false","false","true","0.03","999","0.408"
"34","false","false","true","0.03","999","0.308"
"35","false","false","true","0.03","999","0.348"
"37","false","false","true","0.03","999","0.384"
"36","false","false","true","0.03","999","0.36"
"38","false","false","true","0.03","999","0.324"
"39","false","false","true","0.03","999","0.352"
"40","false","false","true","0.03","999","0.296"
"41","false","false","true","0.04","999","0.508"
"42","false","false","true","0.04","999","0.344"
"43","false","false","true","0.04","999","0.32"
"44","false","false","true","0.04","999","0.408"
"45","false","false","true","0.04","999","0.448"
"46","false","false","true","0.04","999","0.356"
"47","false","false","true","0.04","999","0.352"
"48","false","false","true","0.04","999","0.356"
"50","false","false","true","0.04","999","0.388"
"51","false","false","true","0.05","999","0.464"
"52","false","false","true","0.05","999","0.468"
"49","false","false","true","0.04","999","0.356"
"53","false","false","true","0.05","999","0.476"
"54","false","false","true","0.05","999","0.432"
"55","false","false","true","0.05","999","0.516"
"56","false","false","true","0.05","999","0.336"
"57","false","false","true","0.05","999","0.476"
"60","false","false","true","0.05","999","0.336"
"58","false","false","true","0.05","999","0.384"
"61","false","false","true","0.06","999","0.568"
"59","false","false","true","0.05","999","0.452"
"62","false","false","true","0.06","999","0.408"
"63","false","false","true","0.06","999","0.488"
"65","false","false","true","0.06","999","0.524"
"64","false","false","true","0.06","999","0.508"
"66","false","false","true","0.06","999","0.436"
"67","false","false","true","0.06","999","0.456"
"70","false","false","true","0.06","999","0.544"
"68","false","false","true","0.06","999","0.552"
"72","false","false","true","0.07","999","0.648"
"69","false","false","true","0.06","999","0.56"
"71","false","false","true","0.07","999","0.584"
"73","false","false","true","0.07","999","0.688"
"75","false","false","true","0.07","999","0.564"
"74","false","false","true","0.07","999","0.568"
"76","false","false","true","0.07","999","0.632"
"80","false","false","true","0.07","999","0.728"
"82","false","false","true","0.08","999","0.796"
"78","false","false","true","0.07","999","0.556"
"79","false","false","true","0.07","999","0.612"
"77","false","false","true","0.07","999","0.68"
"81","false","false","true","0.08","999","0.74"
"83","false","false","true","0.08","999","0.728"
"87","false","false","true","0.08","999","0.752"
"86","false","false","true","0.08","999","0.784"
"84","false","false","true","0.08","999","0.736"
"85","false","false","true","0.08","999","0.752"
"88","false","false","true","0.08","999","0.592"
"90","false","false","true","0.08","999","0.756"
"89","false","false","true","0.08","999","0.652"
"91","false","false","true","0.09","999","1.168"
"92","false","false","true","0.09","999","0.876"
"93","false","false","true","0.09","999","0.912"
"94","false","false","true","0.09","999","0.928"
"96","false","false","true","0.09","999","0.816"
"97","false","false","true","0.09","999","0.968"
"95","false","false","true","0.09","999","0.844"
"98","false","false","true","0.09","999","0.792"
"99","false","false","true","0.09","999","0.908"
"101","false","false","true","0.1","999","1.008"
"100","false","false","true","0.09","999","0.908"
"102","false","false","true","0.1","999","0.944"
"103","false","false","true","0.1","999","1.172"
"104","false","false","true","0.1","999","0.932"
"107","false","false","true","0.1","999","1.008"
"108","false","false","true","0.1","999","1.14"
"106","false","false","true","0.1","999","0.944"
"109","false","false","true","0.1","999","0.892"
"105","false","false","true","0.1","999","1.008"
"112","false","false","true","0.11","999","1.448"
"110","false","false","true","0.1","999","0.752"
"114","false","false","true","0.11","999","1.38"
"113","false","false","true","0.11","999","1.248"
"111","false","false","true","0.11","999","1.164"
"117","false","false","true","0.11","999","1.124"
"115","false","false","true","0.11","999","1.248"
"116","false","false","true","0.11","999","1.216"
"118","false","false","true","0.11","999","1.4"
"119","false","false","true","0.11","999","0.956"
"122","false","false","true","0.12","999","1.58"
"120","false","false","true","0.11","999","1.172"
"124","false","false","true","0.12","999","1.616"
"121","false","false","true","0.12","999","1.668"
"125","false","false","true","0.12","999","1.564"
"123","false","false","true","0.12","999","1.728"
"126","false","false","true","0.12","999","1.372"
"127","false","false","true","0.12","999","1.736"
"130","false","false","true","0.12","999","1.344"
"129","false","false","true","0.12","999","1.58"
"128","false","false","true","0.12","999","1.268"
"132","false","false","true","0.13","999","1.712"
"134","false","false","true","0.13","999","1.696"
"131","false","false","true","0.13","999","1.66"
"133","false","false","true","0.13","999","1.84"
"136","false","false","true","0.13","999","2.268"
"137","false","false","true","0.13","999","1.696"
"135","false","false","true","0.13","999","1.676"
"138","false","false","true","0.13","999","1.992"
"139","false","false","true","0.13","999","1.932"
"140","false","false","true","0.13","999","1.604"
"143","false","false","true","0.14","999","2.284"
"141","false","false","true","0.14","999","2.568"
"144","false","false","true","0.14","999","2.556"
"142","false","false","true","0.14","999","2.18"
"145","false","false","true","0.14","999","2.32"
"147","false","false","true","0.14","999","2.128"
