ID,Site,FG,Comp,Cnveg,AGB,BGB.0.10.,BGB.10.20.,BGB.0.20.,RSA.0.10.,RSA.10.20.,RoorC.0.10.,RootC.10.20.,RootN.0.10.,RootN.10.20.,SoilC,SoilN,VegC,VegN,Nstorage,Cstorage,TerHSpeciesRich,TerOSpeciesRich,TerPSpeciesRich,TerPASpeciesRich,rich,resultsTERR.Turnover
1,A1,2,FR,32.94413528,424.2195122,330.1702847,101.3908748,431.5611595,560.8028,242.3555,35.03618813,40.89112663,0.96876213,0.904422075,1.035364628,0.068984389,42.80657196,1.317787558,8.197352055,291.647447,6,1,2,0,9,0.538461538
2,A2,3,FRT,38.9952626,192.4146341,106.5904069,83.19251267,189.7829195,328.9623,167.8359,37.09516144,22.11915588,0.646767378,0.669456899,1.823872507,0.112139408,41.80022202,1.124963236,6.403641196,265.3881229,10,1,2,1,14,0.647058824
3,A3,1,T,53.14427647,458.7560976,751.3323801,449.7595216,1201.091902,848.5609,560.5269,39.07886887,40.21733856,0.515999347,0.312063232,3.116742134,0.23390989,43.61644554,0.821098804,4.925131311,350.1368882,5,2,2,0,9,0.769230769
5,A5,2,RT,50.55145603,184.804878,532.9520343,93.59157676,626.5436111,700.4591,248.5917,36.40446281,33.13234901,0.611166596,0.588253111,2.503913581,0.174023379,41.97409868,0.933070339,5.084977364,264.5022185,5,1,2,0,8,0.818181818
6,A6,1,R,39.63405916,247.9268293,335.3698167,150.7864292,486.1562459,667.8462,409.6912,39.32381439,38.17733002,0.680506319,0.756868184,1.707876265,0.102112468,41.29588127,1.046254605,4.801121069,230.3140292,7,1,3,1,12,0.769230769
8,A8,1,T,59.77703471,329.6829268,226.1796438,140.3873651,366.567009,507.7521,335.184,37.70355797,39.67243004,0.605898499,0.679311514,2.370569229,0.128998797,43.12316322,0.744997084,3.675447911,228.1151187,6,0,0,1,7,1
9,B1,2,RT,60.51045387,365.7317073,1401.273885,12.99883011,1414.272715,942.197,45.4144,36.90319252,39.64340782,0.727805227,0.351714253,2.450090528,0.174922548,43.57742596,0.912461739,14.25859923,674.2931939,5,1,1,0,7,0.5
10,B2,1,F,27.95561727,1.195121951,298.9730924,129.9883011,428.9613935,366.1049,158.2979,34.56180763,37.15625381,0.804899514,0.614714742,1.947328389,0.155496404,43.58758926,1.571814179,2.425218063,103.8514299,4,1,0,0,5,0.6
11,B3,2,FT,60.82560727,317.7560976,109.1901729,184.5833875,293.7735604,296.7565,370.4206,38.62924767,38.85957718,1.088867307,0.992241621,1.448513865,0.097004581,44.89012051,0.764343858,3.397549207,186.9825042,6,1,4,1,12,0.944444444
12,B4,1,T,56.948303,543.0487805,270.3756662,244.378006,514.7536722,667.5744,425.205,37.84293365,41.34884644,0.881500632,0.450440213,2.367091656,0.160082571,42.63669682,0.585037217,5.512911513,335.9406869,6,2,2,0,10,0.764705882
13,B5,1,R,33.82766085,247.5121951,506.9543741,93.59157676,600.5459509,626.7923,264.769,38.50704956,37.46979904,0.849779218,0.950780451,2.24781394,0.15637704,41.31999016,1.049254939,6.669320182,296.4220453,6,1,2,0,9,0.8
14,B6,1,T,69.33851356,677.6829268,280.7747303,93.59157676,374.366307,635.9515,247.3086,32.39368439,39.0382309,0.615886658,0.505940244,2.374311328,0.14729178,42.6171999,0.571404099,3.977102139,378.4446173,7,0,2,0,9,0.923076923
15,B7,2,FR,32.6995226,217.6097561,707.1363577,77.99298063,785.1293384,737.4429,176.6251,34.36945915,36.14947891,0.615056545,0.675760925,2.213448286,0.143206306,43.04835955,1.150657018,6.511825016,333.4544682,5,1,1,0,7,0.7
16,B8,2,FR,28.1158264,170.5609756,174.1843234,103.9906408,278.1749643,391.3018,219.7442,37.49148941,38.51590157,0.755185038,0.817900747,2.039740562,0.137231089,42.19373274,1.345407605,3.226577521,136.2342461,3,1,0,1,5,0.333333333
17,C1,2,RT,47.3051544,181.097561,618.744313,163.7852593,782.5295723,893.4673,351.2393,31.38943863,35.56717873,0.440745518,0.473277539,2.130082488,0.16008763,43.42209387,0.747426905,4.107576596,273.0164842,7,1,0,0,8,0.5
18,C2,2,RT,44.5857355,313.195122,249.577538,150.7864292,400.3639672,472.0756,150.5116,31.68156242,21.49686146,0.618644834,0.310198247,1.042405903,0.065756436,43.37975502,0.813224365,4.159773554,219.7226934,8,1,0,0,9,0.666666667
19,C3,2,FT,52.0231519,67.70731707,88.39204472,184.5833875,272.9754322,185.0794,373.637,19.93251801,41.64991379,0.502254531,0.531965166,1.720042765,0.113300811,45.88866329,0.766162187,1.043146509,48.61224545,4,1,0,0,5,0.333333333
20,C4,2,FT,46.15711083,321.5121951,77.99298063,132.5880671,210.5810477,310.8597,310.0501,35.8584938,40.89263535,0.821604848,0.5123045,2.555514574,0.173886165,45.77710629,0.837689504,3.319753943,175.5237273,10,2,1,0,13,0.615384615
21,C5,3,FRT,40.76712042,447.3170732,826.7255947,239.1784739,1065.904069,826.3774,410.3463,36.2426796,33.28577995,0.659030139,0.494921237,3.122524858,0.115682542,43.20959625,1.0688519,9.782848937,491.4090625,10,1,1,0,12,0.7
23,C7,2,FT,58.9837833,634.3902439,285.9742623,181.9836215,467.9578838,610.1971,357.3219,36.44207191,40.42585945,0.926671684,0.50185813,1.805270612,0.11619176,42.97040812,0.705990324,5.231082982,380.7965581,9,2,0,0,11,0.8125
24,C8,2,FT,43.72534346,365.2926829,163.7852593,223.5798778,387.3651371,468.2613,473.2073,39.25813103,40.9289341,0.548633128,0.655814648,2.14343226,0.16059421,43.33351135,1.057560463,3.365138961,224.2000762,7,1,1,1,10,0.9
26,D2,1,R,42.70026216,176.2195122,491.355778,181.9836215,673.3393995,560.1999,424.6831,37.29561996,38.77258492,0.718863577,0.594288856,1.975672662,0.121685091,40.69317436,0.802538306,4.917136274,255.7647922,8,1,0,1,10,0.5
27,D3,1,T,63.42318066,381.0487805,1682.048616,244.378006,1926.426622,919.114,351.2021,29.9048233,36.08309364,0.29626295,0.529848933,2.501124978,0.177611433,46.08275604,0.746978968,8.261109552,668.6172028,9,2,1,0,12,0.454545455
28,D4,3,FRT,44.56574961,219.3170732,574.5482907,111.7899389,686.3382296,750.1265,167.3282,26.89705181,25.56053352,0.396866649,0.531575769,1.729860306,0.127017818,42.55761846,0.907360137,4.315278998,244.253981,13,2,1,2,18,0.363636364
30,D6,2,FR,31.13077014,394.1463415,725.3347199,116.9894709,842.3241908,717.8599,238.1014,27.65742588,29.83270168,0.415885404,0.53700076,1.033363819,0.064960795,41.92845853,1.390784184,7.152978828,361.3707613,12,1,1,0,14,0.428571429
31,D7,1,F,37.25497522,1.048780488,296.3733264,244.378006,540.7513324,845.7714,525.1938,32.1423912,35.25509644,0.489510685,0.873887807,2.177934051,0.149002649,42.42517853,1.089173377,1.462202139,95.70642099,9,2,0,0,11,0.647058824
32,D8,1,R,38.98665469,410.2195122,548.5506304,96.19134278,644.7419732,818.6835,261.2509,27.57654953,37.86706161,0.471209764,0.74592483,2.214286447,0.14942427,41.22694969,0.99710229,6.675132286,320.3923282,9,1,0,1,11,0.714285714
33,E1,1,R,41.00095794,330.804878,215.7805797,449.7595216,665.5401014,437.981,957.0901,38.05155945,27.56972504,0.630038649,0.548522234,1.941510797,0.112173434,44.21778393,1.063917294,4.688084903,226.9731412,5,1,2,1,9,0.4
35,E3,3,FRT,41.16812339,574.6585366,311.9719225,81105.40037,525.1527363,618.5707,554.5019,34.14170647,35.515028,0.780480713,0.500432715,4.999674559,0.160550103,43.59735934,1.078703548,7.631920609,351.0076831,10,1,2,1,14,0.636363636
